no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,english,japanese,japanese_romanization,vietnamese,vietnamese_romanization,hakka_sixian_hanzi,hakka_sixian,hakka_sixian_display,hakka_sixian_match_type
587,睡眠,睡眠,수면,su myeon,睡眠,shuì mián,sleep,睡眠,suimin,miên,mien,睡眠,soi-mìn,soi minˇ,char_composed
588,占领,占領,점령,jeom ryeong,占领,zhàn lǐng,occupied,占領,senryou,chiêm lãnh,chiem lanh,占領,cham-liâng,zam liangˊ,exact
589,尊敬,尊敬,존경,jon gyeong,尊敬,zūn jìng,respect,尊敬,sonkei,tôn kính,ton kinh,尊敬,chûn-kin,zunˊ gin,char_composed
590,损害,損害,손해,son hae,损害,sǔn hài,damage,損害,songai,tốn hại,ton hai,損害,sún-hoi,sunˋ hoi,exact
591,热带,熱帶,열대,yeol dae,热带,rè dài,tropical,熱帯,nettai,nhiệt đai,nhiet dai,熱帶,ngie̍t-tai,ngied dai,exact
592,无限,無限,무한,mu han,无限,wú xiàn,unlimited,無限,mugen,vô hạn,vo han,無限,(白)mò-han/(文)vù-han,(白)moˇ han/(文)vuˇ han,exact
593,愉快,愉快,유쾌,yu kwae,愉快,yú kuài,joy,愉快,yukai,khoái,khoai,愉快,yì-khoai,iˇ kuai,exact
594,伟大,偉大,위대,wi dae,伟大,wěi dà,great,偉大,idai,vĩ đại,vi dai,偉大,vî-thai,viˊ tai,char_composed
595,一带,一帶,일대,il dae,一带,yī dài,area,一帯,ittai,nhất đai,nhat dai,一帶,,,missing
596,解释,解釋,해석,hae seok,解释,jiě shì,explain,解釈,kaishaku,giải thích,giai thich,解釋,kié-sṳt,gieˋ siidˋ,exact
597,干部,幹部,간부,gan bu,干部,gàn bù,cadre,幹部,kanbu,bộ,bo,幹部,kon-phu,gon pu,exact
598,气温,氣溫,기온,gi on,气温,qì wēn,temperature,気温,kion,khí,khi,氣溫,hi-vûn,hi vunˊ,char_composed
599,空中,空中,공중,gong jung,空中,kōng zhōng,air,空中,kuuchuu,không trung,khong trung,空中,khûng-chûng,kungˊ zungˊ,exact
600,抗议,抗議,항의,hang ui,抗议,kàng yì,protest,抗議,kougi,kháng nghị,khang nghi,抗議,khóng-ngi,kongˋ ngi,exact
601,工作,工作,공작,gong jak,工作,gōng zuò,work,工作,kousaku,công tác,cong tac,工作,kûng-chok,gungˊ zogˋ,exact
602,昆虫,昆蟲,곤충,gon chung,昆虫,kūn chóng,insect,昆虫,konchuu,con trùng,con trung,昆蟲,khûn-chhùng,kunˊ cungˇ,exact
603,缩小,縮小,축소,chuk so,缩小,suō xiǎo,zoom out,縮小,shukushou,tiểu,tieu,縮小,sok-séu,sogˋ seuˋ,char_composed
604,出生,出生,출생,chul saeng,出生,chū shēng,born,出生,shusshou,xuất sinh,xuat sinh,出生,chhut-sên,cudˋ senˊ,char_composed
605,伤害,傷害,상해,sang hae,伤害,shāng hài,harm,傷害,shougai,thương hại,thuong hai,傷害,sông-hoi,songˊ hoi,exact
606,消灭,消滅,소멸,so myeol,消灭,xiāo miè,wipe out,消滅,shoumetsu,tiêu diệt,tieu diet,消滅,sêu-mie̍t,seuˊ mied,exact
607,西部,西部,서부,seo bu,西部,xī bù,west,西部,seibu,tây bộ,tay bo,西部,sî-phu,xiˊ pu,char_composed
608,节约,節約,절약,jeol yak,节约,jié yuē,save,節約,setsuyaku,tiết ước,tiet uoc,節約,chiet-yok,jiedˋ iogˋ,exact
609,地面,地面,지면,ji myeon,地面,dì miàn,ground,地面,jimen,địa,dia,地面,thi-mien,ti mien,char_composed
610,统计,統計,통계,tong gye,统计,tǒng jì,statistics,統計,toukei,thống kể,thong ke,統計,thúng-kie,tungˋ gie,exact
611,到达,到達,도달,do dal,到达,dào dá,arrive,到達,toutatsu,đáo đạt,dao dat,到達,,,missing
612,读书,讀書,독서,dok seo,读书,dú shū,read,読書,dokusho,độc thư,doc thu,讀書,thu̍k-sû,tug suˊ,exact
613,农村,農村,농촌,nong chon,农村,nóng cūn,rural area,農村,nouson,nông thôn,nong thon,農村,nùng-chhûn,nungˇ cunˊ,exact
614,不幸,不幸,불행,bul haeng,不幸,bù xìng,unlucky,不幸,fukou,bất,bat,不幸,put-hen,budˋ hen,char_composed
615,武装,武裝,무장,mu jang,武装,wǔ zhuāng,armed,武装,busou,vũ trang,vu trang,武裝,vú-chông,vuˋ zongˊ,exact
616,民众,民衆,민중,min jung,民众,mín zhòng,people,民衆,minshuu,dân,dan,民衆,,,missing
617,意义,意義,의의,ui ui,意义,yì yì,significance,意義,igi,ý nghĩa,y nghia,意義,yi-ngi,i ngi,exact
618,各自,各自,각자,gak ja,各自,gè zì,respective,各自,kakuji,các tự,cac tu,各自,kok-chhṳ,gogˋ cii,char_composed
619,讲义,講義,강의,gang ui,讲义,jiǎng yì,handouts,講義,kougi,giảng nghĩa,giang nghia,講義,kóng-ngi,gongˋ ngi,char_composed
620,数学,數學,수학,su hak,数学,shù xué,math,数学,suugaku,số học,so hoc,數學,su-ho̍k,su hog,exact
621,生存,生存,생존,saeng jon,生存,shēng cún,survive,生存,seizon,sinh tồn,sinh ton,生存,sên-sùn,senˊ sunˇ,exact
622,地带,地帶,지대,ji dae,地带,dì dài,zone,地帯,chitai,địa đai,dia dai,地帶,,,missing
623,秩序,秩序,질서,jil seo,秩序,zhì xù,order,秩序,chitsujo,trật tựa,trat tua,秩序,chṳt-si,ziidˋ xi,char_composed
624,部队,部隊,부대,bu dae,部队,bù duì,force,部隊,butai,bộ đội,bo doi,部隊,phu-chhui,pu cui,char_composed
625,分裂,分裂,분열,bun yeol,分裂,fēn liè,split,分裂,bunretsu,phân,phan,分裂,fûn-lie̍t,funˊ lied,exact
626,容器,容器,용기,yong gi,容器,róng qì,container,容器,youki,dung khí,dung khi,容器,yùng-hi,iungˇ hi,exact
627,观念,觀念,관념,gwan nyeom,观念,guān niàn,concept,観念,kannen,quan niệm,quan niem,觀念,kôn-ngiam,gonˊ ngiam,exact
628,气候,氣候,기후,gi hu,气候,qì hòu,climate,気候,kikou,khí hầu,khi hau,氣候,hi-heu,hi heu,char_composed
629,刑事,刑事,형사,hyeong sa,刑事,xíng shì,criminal,刑事,keiji,hình sự,hinh su,刑事,hìn-se,hinˇ se,char_composed
630,继承,繼承,계승,gye seung,继承,jì chéng,inherit,継承,keishou,kế thừa,ke thua,繼承,,,missing
631,财政,財政,재정,jae jeong,财政,cái zhèng,financial,財政,zaisei,tài chính,tai chinh,財政,chhòi-chṳn,coiˇ ziin,exact
632,少数,少數,소수,so su,少数,shǎo shù,few,少数,shousuu,thiểu số,thieu so,少數,séu-su,seuˋ su,exact
633,条约,條約,조약,jo yak,条约,tiáo yuē,treaty,条約,jouyaku,điều ước,dieu uoc,條約,thiàu-yok,tiauˇ iogˋ,exact
634,人体,人體,인체,in che,人体,rén tǐ,human body,人体,jintai,nhân thể,nhan the,人體,ngìn-thí,nginˇ tiˋ,char_composed
635,进入,進入,진입,jin ip,进入,jìn rù,enter,進入,shinnyuu,tiến nhập,tien nhap,進入,chin-ngi̍p,jin ngib,exact
636,正式,正式,정식,jeong sik,正式,zhèng shì,formal,正式,seishiki,chính thức,chinh thuc,正式,chṳn-sṳt,ziin siidˋ,exact
637,电压,電壓,전압,jeon ap,电压,diàn yā,voltage,電圧,den'atsu,áp,ap,電壓,,,missing
638,必须,必須,필수,pil su,必须,bì xū,must,必須,hissu,tất tua,tat tua,必須,,,missing
639,分量,分量,분량,bun ryang,分量,fèn liàng,weight,分量,bunryou,phân,phan,分量,fun-liong,fun liong,exact
640,兵士,兵士,병사,byeong sa,兵士,bīng shì,soldier,兵士,heishi,binh sĩ,binh si,兵士,pîn-sṳ,binˊ sii,char_composed
641,平凡,平凡,평범,pyeong beom,平凡,píng fán,ordinary,平凡,heibon,bình phàm,binh pham,平凡,phìn-fàm,pinˇ famˇ,exact
642,万一,萬一,만일,man il,万一,wàn yī,just in case,万一,man'ichi,vạn nhất,van nhat,萬一,van-yit,van idˋ,exact
643,命令,命令,명령,myeong ryeong,命令,mìng lìng,order,命令,meirei,mệnh lệnh,menh lenh,命令,min-lin,min lin,exact
644,猛烈,猛烈,맹렬,maeng ryeol,猛烈,měng liè,violent,猛烈,mouretsu,mãnh liệt,manh liet,猛烈,mên-lat,menˊ ladˋ,char_composed
645,预报,豫報,예보,ye bo,预报,yù bào,forecast,予報,yohou,báo,bao,豫報,,,missing
646,观点,觀點,관점,gwan jeom,观点,guān diǎn,point of view,観点,kanten,quan điểm,quan diem,觀點,,,missing
647,军人,軍人,군인,gun in,军人,jūn rén,soldier,軍人,gunjin,quân nhân,quan nhan,軍人,kiûn-ngìn,giunˊ nginˇ,char_composed
648,宪法,憲法,헌법,heon beop,宪法,xiàn fǎ,constitution,憲法,kenpou,hiến pháp,hien phap,憲法,hién-fap,hienˋ fabˋ,exact
649,山地,山地,산지,san ji,山地,shān dì,mountain,山地,sanchi,sơn địa,son dia,山地,sân-thi,sanˊ ti,char_composed
650,所在,所在,소재,so jae,所在,suǒ zài,location,所在,shozai,sỡ tại,so tai,所在,só-chhai,soˋ cai,exact
651,相互,相互,상호,sang ho,相互,xiāng hù,mutual,相互,sougo,tương hỗ,tuong ho,相互,siông-fu,xiongˊ fu,char_composed
652,总理,總理,총리,chong ri,总理,zǒng lǐ,prime minister,総理,souri,tổng lí,tong li,總理,chúng-lî,zungˋ liˊ,exact
653,尊重,尊重,존중,jon jung,尊重,zūn zhòng,respect,尊重,sonchou,tôn trọng,ton trong,尊重,chûn-chhung,zunˊ cung,exact
654,电流,電流,전류,jeon ryu,电流,diàn liú,current,電流,denryuu,lưu,luu,電流,thien-làu,tien lauˇ,char_composed
655,同意,同意,동의,dong ui,同意,tóng yì,agree,同意,doui,đồng ý,dong y,同意,thùng-yi,tungˇ i,exact
656,比例,比例,비례,bi rye,比例,bǐ lì,proportion,比例,hirei,tỉ lề,ti le,比例,pí-li,biˋ li,exact
657,分配,分配,분배,bun bae,分配,fēn pèi,distribute,分配,bunpai,phân phối,phan phoi,分配,fûn-phi,funˊ pi,exact
658,木材,木材,목재,mok jae,木材,mù cái,wood,木材,mokuzai,mộc,moc,木材,muk-chhòi/(又讀)muk-chhài,mugˋ coiˇ/(又讀)mugˋ caiˇ,exact
